Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Karplanter,Fastlands-Norge med havområder,100432,Dørstokkart,C1,NK,LO,2.0,1.0,100432,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100441,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,100441,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128838,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,128838,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100442,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,100442,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217402,Dørstokkart,B2,,NK,1.0,1.0,217402,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99313,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,99313,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103263,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103263,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217403,Dørstokkart,A,,NK,1.0,1.0,217403,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102891,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,102891,Nei,Nei
Marine invertebrater,Svalbard med kystsone,107697,Dørstokkart,A,LO,LO,3.0,1.0,107697,Ja,Nei
Marine invertebrater,Svalbard med kystsone,107699,Dørstokkart,A,LO,LO,3.0,1.0,107699,Ja,Nei
Karplanter,Fastlands-Norge med havområder,217404,Dørstokkart,B2,,LO,2.0,1.0,217404,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,216418,Dørstokkart,A,,HI,4.0,2.0,216418,Nei,Nei
Alger,Fastlands-Norge med havområder,128111,Dørstokkart,A,PH,SE,4.0,3.0,128111,Ja,Ja
Karplanter,Fastlands-Norge med havområder,100445,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,100445,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100446,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,100446,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103626,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,103626,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103627,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,103627,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100277,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,100277,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,11678,Dørstokkart,B1,LO,NK,1.0,1.0,11678,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,7626,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,7626,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,110027,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,110027,Ja,Nei
Moser,Fastlands-Norge med havområder,187706,Dørstokkart,A,,LO,3.0,1.0,187706,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101361,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,101361,Ja,Nei
Karplanter,Fastlands-Norge med havområder,103712,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,103712,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216791,Dørstokkart,A,,NK,1.0,1.0,216791,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,223454,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,223454,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,55837,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,55837,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101098,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,101098,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,129092,Dørstokkart,A,HI,HI,4.0,2.0,129092,Ja,Ja
Marine invertebrater,Svalbard med kystsone,129092,Dørstokkart,A,NK,LO,3.0,1.0,129092,Ja,Nei
Pattedyr,Fastlands-Norge med havområder,216737,Dørstokkart,A,,LO,3.0,1.0,216737,Nei,Nei
